track_id,cluster_pca
"""En Gallop""",0
'A' Bomb in Wardour Street,0
(Get A) Grip (On Yourself) '89,0
"(I Got Spurs That) Jingle, Jangle, Jingle",0
(It Must Have Been Ol') Santa Claus,0
(Sittin' On) The Dock of the Bay,0
(There'll Be) Peace in the Valley,0
(There's No Place Like) Home for the Holidays,0
...to Carry On,0
09-May,0
1982,0
2 of a Kind,0
24 Hour Bulls***,0
24 Hours a Day,0
4st 7lb,0
6 O'Clock News,0
8 Days of Christmas,0
9th Circle,0
<c6>nema,0
A Baby Changes Everything,0
A Cheat,0
A Cradle in Bethlehem,0
A Holly Jolly Christmas,0
A House in the Country,0
A Little Less Conversation,0
A Lover Is Forever,0
A Man in Your Head,0
A Natural Woman,0
A New Kingdom,0
A Nigga Witta Gun,0
A Place to Fall Apart,0
A String to Your Heart,0
A Time for Us,0
A Time to Die,0
A Town Called Paradise,0
A Way,0
A Whole New World,0
A World Without Heroes,0
A. 11,0
A.I.R.,0
A001,5
A002,5
A003,5
A004,5
A005,5
A010,5
A011,5
A013,5
A014,5
A017,5
A018,5
A019,5
A020,5
A021,5
A022,5
A023,5
A024,5
A025,5
A028,5
A029,5
A030,5
A032,5
A034,5
A035,5
A038,5
A039,5
A042,5
A043,5
A045,5
A047,5
A048,5
A049,5
A050,5
A051,5
A052,5
A055,5
A058,5
A060,5
A061-66,5
A062-170,5
A063-90,5
A064-116,5
A066-140,5
A067-104,5
A068-167,5
A071-70,5
A073-143,5
A074-91,5
A077-122,5
A078-173,5
A080-92,5
A081-67,5
A082-93,5
A083-158,5
A084-75,5
A085-69,5
A086-123,5
A087-165,5
A088-136,5
A090-94,5
A091-95,5
A092-96,5
A094-110,5
A095-113,5
A096-68,5
A097-152,5
A098-154,5
A100-124,5
A101-111,5
A102-114,5
A103-99,5
A104-119,5
A105-117,5
A106-100,5
A107-115,5
A109-138,5
A111-141,5
A114-120,5
A115-84,5
A116-135,5
A117-76,5
A119-151,5
A120-168,5
A126-77,5
A127-133,5
A128-109,5
A130-162,5
A131-101,5
A132-121,5
A134-142,5
A136-97,5
A137-153,5
A140-166,5
A141-139,5
A142-98,5
A143-72,5
A145-134,5
A146-118,5
A147-169,5
A148-102,5
A150-132,5
A151-172,5
A152-108,5
A153-130,5
A157-71,5
A159-164,5
A160-149,5
A162,5
A165,5
A166,5
A167,5
A168,5
A170,5
A171,5
A172,5
A174,5
A176,5
A177,5
A178,5
A179,5
A182,5
A183,5
A186,5
