track_id,cluster_vae
"""En Gallop""",0
'A' Bomb in Wardour Street,0
(Get A) Grip (On Yourself) '89,0
"(I Got Spurs That) Jingle, Jangle, Jingle",0
(It Must Have Been Ol') Santa Claus,0
(Sittin' On) The Dock of the Bay,0
(There'll Be) Peace in the Valley,0
(There's No Place Like) Home for the Holidays,0
...to Carry On,0
09-May,0
1982,0
2 of a Kind,0
24 Hour Bulls***,0
24 Hours a Day,0
4st 7lb,0
6 O'Clock News,0
8 Days of Christmas,0
9th Circle,0
<c6>nema,0
A Baby Changes Everything,0
A Cheat,0
A Cradle in Bethlehem,0
A Holly Jolly Christmas,0
A House in the Country,0
A Little Less Conversation,0
A Lover Is Forever,0
A Man in Your Head,0
A Natural Woman,0
A New Kingdom,0
A Nigga Witta Gun,0
A Place to Fall Apart,0
A String to Your Heart,0
A Time for Us,0
A Time to Die,0
A Town Called Paradise,0
A Way,0
A Whole New World,0
A World Without Heroes,0
A. 11,0
A.I.R.,0
A001,3
A002,3
A003,3
A004,3
A005,3
A010,3
A011,3
A013,3
A014,3
A017,3
A018,3
A019,3
A020,3
A021,3
A022,3
A023,3
A024,3
A025,3
A028,3
A029,3
A030,3
A032,3
A034,3
A035,3
A038,3
A039,3
A042,3
A043,3
A045,3
A047,3
A048,3
A049,3
A050,3
A051,3
A052,3
A055,3
A058,3
A060,3
A061-66,3
A062-170,3
A063-90,3
A064-116,3
A066-140,3
A067-104,3
A068-167,3
A071-70,3
A073-143,3
A074-91,3
A077-122,3
A078-173,3
A080-92,3
A081-67,3
A082-93,3
A083-158,3
A084-75,3
A085-69,3
A086-123,3
A087-165,3
A088-136,3
A090-94,3
A091-95,3
A092-96,3
A094-110,3
A095-113,3
A096-68,3
A097-152,3
A098-154,3
A100-124,3
A101-111,3
A102-114,3
A103-99,3
A104-119,3
A105-117,3
A106-100,3
A107-115,3
A109-138,3
A111-141,3
A114-120,3
A115-84,3
A116-135,3
A117-76,3
A119-151,3
A120-168,3
A126-77,3
A127-133,3
A128-109,3
A130-162,3
A131-101,3
A132-121,3
A134-142,3
A136-97,3
A137-153,3
A140-166,3
A141-139,3
A142-98,3
A143-72,3
A145-134,3
A146-118,3
A147-169,3
A148-102,3
A150-132,3
A151-172,3
A152-108,3
A153-130,3
A157-71,3
A159-164,3
A160-149,3
A162,3
A165,3
A166,3
A167,3
A168,3
A170,3
A171,3
A172,3
A174,3
A176,3
A177,3
A178,3
A179,3
A182,3
A183,3
A186,3
