track_id,cluster_vae,true_genre,language
"""En Gallop""",0,61,-1
'A' Bomb in Wardour Street,0,102,-1
(Get A) Grip (On Yourself) '89,0,102,-1
"(I Got Spurs That) Jingle, Jangle, Jingle",0,55,-1
(It Must Have Been Ol') Santa Claus,0,78,-1
(Sittin' On) The Dock of the Bay,0,49,-1
(There'll Be) Peace in the Valley,0,42,-1
(There's No Place Like) Home for the Holidays,0,78,-1
...to Carry On,0,56,-1
09-May,0,85,-1
1982,0,42,-1
2 of a Kind,0,102,-1
24 Hour Bulls***,0,56,-1
24 Hours a Day,0,18,-1
4st 7lb,0,102,-1
6 O'Clock News,0,102,-1
8 Days of Christmas,0,116,-1
9th Circle,0,56,-1
<c6>nema,0,102,-1
A Baby Changes Everything,0,42,-1
A Cheat,0,42,-1
A Cradle in Bethlehem,0,78,-1
A Holly Jolly Christmas,0,42,-1
A House in the Country,0,20,-1
A Little Less Conversation,0,33,-1
A Lover Is Forever,0,18,-1
A Man in Your Head,0,102,-1
A Natural Woman,0,116,-1
A New Kingdom,0,78,-1
A Nigga Witta Gun,0,117,-1
A Place to Fall Apart,0,42,-1
A String to Your Heart,0,18,-1
A Time for Us,0,102,-1
A Time to Die,0,56,-1
A Town Called Paradise,0,102,-1
A Way,0,102,-1
A Whole New World,0,102,-1
A World Without Heroes,0,102,-1
A. 11,0,42,-1
A.I.R.,0,102,-1
A001,2,-1,-1
A002,2,-1,-1
A003,2,-1,-1
A004,2,-1,-1
A005,2,-1,-1
A010,2,-1,-1
A011,2,-1,-1
A013,2,-1,-1
A014,2,-1,-1
A017,2,-1,-1
A018,2,-1,-1
A019,2,-1,-1
A020,2,-1,-1
A021,2,-1,-1
A022,2,-1,-1
A023,2,-1,-1
A024,2,-1,-1
A025,2,-1,-1
A028,2,-1,-1
A029,2,-1,-1
A030,2,-1,-1
A032,2,-1,-1
A034,2,-1,-1
A035,2,-1,-1
A038,2,-1,-1
A039,2,-1,-1
A042,2,-1,-1
A043,2,-1,-1
A045,2,-1,-1
A047,2,-1,-1
A048,2,-1,-1
A049,2,-1,-1
