track_id,cluster_vae
"""En Gallop""",0
'A' Bomb in Wardour Street,0
(Get A) Grip (On Yourself) '89,0
"(I Got Spurs That) Jingle, Jangle, Jingle",0
(It Must Have Been Ol') Santa Claus,0
(Sittin' On) The Dock of the Bay,0
(There'll Be) Peace in the Valley,0
(There's No Place Like) Home for the Holidays,0
...to Carry On,0
09-May,0
1982,0
2 of a Kind,0
24 Hour Bulls***,0
24 Hours a Day,0
4st 7lb,0
6 O'Clock News,0
8 Days of Christmas,0
9th Circle,0
<c6>nema,0
A Baby Changes Everything,0
A Cheat,0
A Cradle in Bethlehem,0
A Holly Jolly Christmas,0
A House in the Country,0
A Little Less Conversation,0
A Lover Is Forever,0
A Man in Your Head,0
A Natural Woman,0
A New Kingdom,0
A Nigga Witta Gun,0
A Place to Fall Apart,0
A String to Your Heart,0
A Time for Us,0
A Time to Die,0
A Town Called Paradise,0
A Way,0
A Whole New World,0
A World Without Heroes,0
A. 11,0
A.I.R.,0
A001,2
A002,2
A003,2
A004,2
A005,2
A010,2
A011,2
A013,2
A014,2
A017,2
A018,2
A019,2
A020,2
A021,2
A022,2
A023,2
A024,2
A025,2
A028,2
A029,2
A030,2
A032,2
A034,2
A035,2
A038,2
A039,2
A042,2
A043,2
A045,2
A047,2
A048,2
A049,2
A050,2
A051,2
A052,2
A055,2
A058,2
A060,2
A061-66,2
A062-170,2
A063-90,2
A064-116,2
A066-140,2
A067-104,2
A068-167,2
A071-70,2
A073-143,2
A074-91,2
A077-122,2
A078-173,2
A080-92,2
A081-67,2
A082-93,2
A083-158,2
A084-75,2
A085-69,2
A086-123,2
A087-165,2
A088-136,2
A090-94,2
A091-95,2
A092-96,2
A094-110,2
A095-113,2
A096-68,2
A097-152,2
A098-154,2
A100-124,2
A101-111,2
A102-114,2
A103-99,2
A104-119,2
A105-117,2
A106-100,2
A107-115,2
A109-138,2
A111-141,2
A114-120,2
A115-84,2
A116-135,2
A117-76,2
A119-151,2
A120-168,2
A126-77,2
A127-133,2
A128-109,2
A130-162,2
A131-101,2
A132-121,2
A134-142,2
A136-97,2
A137-153,2
A140-166,2
A141-139,2
A142-98,2
A143-72,2
A145-134,2
A146-118,2
A147-169,2
A148-102,2
A150-132,2
A151-172,2
A152-108,2
A153-130,2
A157-71,2
A159-164,2
A160-149,2
A162,2
A165,2
A166,2
A167,2
A168,2
A170,2
A171,2
A172,2
A174,2
A176,2
A177,2
A178,2
A179,2
A182,2
A183,2
A186,2
