Cluster,Size,Dominant_Genre,Purity,N_Genres
7,73,Electronic,1.0,1
0,126,Blues,0.9920634920634921,2
19,108,Electronic,0.9907407407407407,2
8,97,Country,0.9896907216494846,2
9,92,R&B,0.9891304347826086,2
1,89,Pop,0.9775280898876404,2
4,116,Jazz,0.9741379310344828,2
18,127,Pop,0.968503937007874,4
13,165,Pop,0.9636363636363636,6
5,43,Reggae,0.9534883720930233,3
12,149,Rap,0.9463087248322147,4
14,110,Pop,0.9272727272727272,9
3,133,Country,0.924812030075188,6
16,121,Electronic,0.8429752066115702,4
11,132,Pop,0.8257575757575758,14
17,86,Pop,0.7093023255813954,12
10,44,Holiday,0.6363636363636364,7
15,67,International,0.5223880597014925,5
2,114,Folk,0.4298245614035088,22
6,83,Country,0.27710843373493976,15
